"","Record.ID","Sub.Num","Date","Time","Phase","Tr.Num.Overall","Tr.Num","Condition","Response","RT","Accuracy"
"37",1,"Ron","4/11/2022","9:50","Identify",48,"1",4,"1",3130,1
"38",1,"Ron","4/11/2022","9:50","Identify",49,"2",4,"2",1484,1
"39",1,"Ron","4/11/2022","9:50","Identify",50,"3",4,"2",1646,1
"40",1,"Ron","4/11/2022","9:50","Identify",51,"4",4,"1",1915,1
"41",1,"Ron","4/11/2022","9:50","Recall",52,"1",4,"true, true, true, true",2950,1
"42",1,"Ron","4/11/2022","9:50","Identify",53,"5",4,"0",1678,1
"43",1,"Ron","4/11/2022","9:50","Identify",54,"6",4,"2",1648,1
"44",1,"Ron","4/11/2022","9:50","Identify",55,"7",4,"2",2497,1
"45",1,"Ron","4/11/2022","9:50","Identify",56,"8",4,"0",3031,1
"46",1,"Ron","4/11/2022","9:50","Recall",57,"2",4,"true, true, true, true",3151.00000000001,1
"47",1,"Ron","4/11/2022","9:50","Identify",58,"9",4,"1",3197,1
"48",1,"Ron","4/11/2022","9:50","Identify",59,"10",4,"0",1697,1
"49",1,"Ron","4/11/2022","9:50","Identify",60,"11",4,"1",2015,1
"50",1,"Ron","4/11/2022","9:50","Identify",61,"12",4,"0",2080,1
"51",1,"Ron","4/11/2022","9:50","Recall",62,"3",4,"true, true, true, true",3252,1
"52",1,"Ron","4/11/2022","9:50","Identify",63,"13",4,"2",1828,1
"53",1,"Ron","4/11/2022","9:50","Identify",64,"14",4,"0",1897,1
"54",1,"Ron","4/11/2022","9:50","Identify",65,"15",4,"1",1651,1
"55",1,"Ron","4/11/2022","9:50","Identify",66,"16",4,"2",1430,1
"56",1,"Ron","4/11/2022","9:50","Recall",67,"4",4,"true, true, true, true",3519,1
"57",1,"Ron","4/11/2022","9:50","Identify",69,"1",5,"2",1579,1
"58",1,"Ron","4/11/2022","9:50","Identify",70,"2",5,"1",1464,1
"59",1,"Ron","4/11/2022","9:50","Identify",71,"3",5,"0",1664,1
"60",1,"Ron","4/11/2022","9:50","Identify",72,"4",5,"2",1497,1
"61",1,"Ron","4/11/2022","9:50","Identify",73,"5",5,"0",2364,1
"62",1,"Ron","4/11/2022","9:50","Recall",74,"1",5,"true, false, false, true, true",4986,0
"63",1,"Ron","4/11/2022","9:50","Identify",75,"6",5,"0",3526,1
"64",1,"Ron","4/11/2022","9:50","Identify",76,"7",5,"2",1468,1
"65",1,"Ron","4/11/2022","9:50","Identify",77,"8",5,"2",1333,1
"66",1,"Ron","4/11/2022","9:50","Identify",78,"9",5,"1",1948,1
"67",1,"Ron","4/11/2022","9:50","Identify",79,"10",5,"0",1899,1
"68",1,"Ron","4/11/2022","9:50","Recall",80,"2",5,"true, true, true, true, true",3451,1
"69",1,"Ron","4/11/2022","9:50","Identify",81,"11",5,"1",1976,1
"70",1,"Ron","4/11/2022","9:50","Identify",82,"12",5,"1",2182,1
"71",1,"Ron","4/11/2022","9:50","Identify",83,"13",5,"0",2063,1
"72",1,"Ron","4/11/2022","9:50","Identify",84,"14",5,"2",2082,1
"73",1,"Ron","4/11/2022","9:50","Identify",85,"15",5,"2",2015,1
"74",1,"Ron","4/11/2022","9:50","Recall",86,"3",5,"true, true, true, true, true",3833,1
"75",1,"Ron","4/11/2022","9:50","Identify",87,"16",5,"1",1245,1
"76",1,"Ron","4/11/2022","9:50","Identify",88,"17",5,"0",1063,1
"77",1,"Ron","4/11/2022","9:50","Identify",89,"18",5,"1",2514,1
"78",1,"Ron","4/11/2022","9:50","Identify",90,"19",5,"1",2447,1
"79",1,"Ron","4/11/2022","9:50","Identify",91,"20",5,"2",1816,1
"80",1,"Ron","4/11/2022","9:50","Recall",92,"4",5,"true, true, true, true, true",4250,1
"81",1,"Ron","4/11/2022","9:50","Identify",94,"1",6,"0",6048,1
"82",1,"Ron","4/11/2022","9:50","Identify",95,"2",6,"1",2448,1
"83",1,"Ron","4/11/2022","9:50","Identify",96,"3",6,"2",1599,1
"84",1,"Ron","4/11/2022","9:50","Identify",97,"4",6,"1",4047,1
"85",1,"Ron","4/11/2022","9:50","Identify",98,"5",6,"2",1897,1
"86",1,"Ron","4/11/2022","9:50","Identify",99,"6",6,"0",1882,1
"87",1,"Ron","4/11/2022","9:50","Recall",100,"1",6,"true, true, true, true, true, true",5652,1
"88",1,"Ron","4/11/2022","9:50","Identify",101,"7",6,"1",3611,1
"89",1,"Ron","4/11/2022","9:50","Identify",102,"8",6,"2",1297,1
"90",1,"Ron","4/11/2022","9:50","Identify",103,"9",6,"2",1982,1
"91",1,"Ron","4/11/2022","9:50","Identify",104,"10",6,"0",1513,1
"92",1,"Ron","4/11/2022","9:50","Identify",105,"11",6,"1",1328,1
"93",1,"Ron","4/11/2022","9:50","Identify",106,"12",6,"2",1963,1
"94",1,"Ron","4/11/2022","9:50","Recall",107,"2",6,"true, true, true, true, true, true",8769,1
"95",1,"Ron","4/11/2022","9:50","Identify",108,"13",6,"0",2425,1
"96",1,"Ron","4/11/2022","9:50","Identify",109,"14",6,"1",2298,1
"97",1,"Ron","4/11/2022","9:50","Identify",110,"15",6,"0",2446,1
"98",1,"Ron","4/11/2022","9:50","Identify",111,"16",6,"1",2747,1
"99",1,"Ron","4/11/2022","9:50","Identify",112,"17",6,"0",2329,1
"100",1,"Ron","4/11/2022","9:50","Identify",113,"18",6,"2",1698,1
"101",1,"Ron","4/11/2022","9:50","Recall",114,"3",6,"true, true, true, true, true, true",4683.00000000006,1
"102",1,"Ron","4/11/2022","9:50","Identify",115,"19",6,"0",3745,1
"103",1,"Ron","4/11/2022","9:50","Identify",116,"20",6,"0",1232,1
"104",1,"Ron","4/11/2022","9:50","Identify",117,"21",6,"2",1433,1
"105",1,"Ron","4/11/2022","9:50","Identify",118,"22",6,"2",1014,1
"106",1,"Ron","4/11/2022","9:50","Identify",119,"23",6,"0",1749,1
"107",1,"Ron","4/11/2022","9:50","Identify",120,"24",6,"2",1997,1
"108",1,"Ron","4/11/2022","9:50","Recall",121,"4",6,"true, true, true, true, true, true",4084.00000000006,1
